City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,Bambous Virieux,-20.3428,57.7575,74.21,83,75,17.27,MU,2022-06-15 18:44:54
185,Jiangyou,31.7667,104.7167,71.6,68,70,3.2,CN,2022-06-15 18:46:40
186,Gayeri,12.6497,0.4931,89.89,45,96,10.02,BF,2022-06-15 18:46:41
187,Borovskoy,53.8,64.15,61.97,64,39,6.2,KZ,2022-06-15 18:46:41
188,Juelsminde,55.7088,10.0167,57.11,80,100,10.07,DK,2022-06-15 18:46:41
189,Itaporanga,-7.3044,-38.1503,75.92,75,77,12.03,BR,2022-06-15 18:46:42
190,Ostrovnoy,68.0531,39.5131,47.37,78,100,10.74,RU,2022-06-15 18:44:35
191,Nerchinskiy Zavod,51.3088,119.61,52.86,94,100,3.4,RU,2022-06-15 18:46:42
192,Taltal,-25.4,-70.4833,58.23,74,100,3.42,CL,2022-06-15 18:46:42
193,Turukhansk,65.8167,87.9833,66.63,61,100,10.25,RU,2022-06-15 18:43:45
194,Broken Hill,-31.95,141.4333,51.03,86,23,9.08,AU,2022-06-15 18:45:07
195,Bhawanipatna,19.9,83.1667,82.65,71,100,4.54,IN,2022-06-15 18:46:43
196,Baykit,61.67,96.37,59.83,97,100,1.03,RU,2022-06-15 18:46:43
197,Karratha,-20.7377,116.8463,72.95,64,50,5.1,AU,2022-06-15 18:46:43
198,Kingman,35.1894,-114.053,94.14,3,0,10.36,US,2022-06-15 18:43:21
199,Kemin,42.7846,75.6892,62.11,64,100,6.06,KG,2022-06-15 18:46:44
200,Ladario,-19.0047,-57.6017,91.49,35,20,12.66,BR,2022-06-15 18:46:44
201,Talnakh,69.4865,88.3972,63.21,57,80,5.48,RU,2022-06-15 18:43:58
202,Obera,-27.4871,-55.1199,70.9,56,0,2.84,AR,2022-06-15 18:46:44
203,Dunedin,-45.8742,170.5036,44.4,78,19,12.46,NZ,2022-06-15 18:45:25
204,Leeton,-34.5667,146.4,51.89,92,96,6.2,AU,2022-06-15 18:46:45
205,Banepa,27.6298,85.5214,70.12,100,75,0.0,NP,2022-06-15 18:46:45
206,Ossora,59.2353,163.0719,48.49,82,100,8.77,RU,2022-06-15 18:46:45
207,Ntcheu,-14.8203,34.6359,61.23,65,0,2.04,MW,2022-06-15 18:46:45
208,Souillac,-20.5167,57.5167,71.98,83,75,17.27,MU,2022-06-15 18:45:04
209,Sile,41.1754,29.6133,70.57,73,6,5.01,TR,2022-06-15 18:46:46
210,Port Hedland,-20.3167,118.5667,62.65,67,93,6.91,AU,2022-06-15 18:45:29
211,Dingle,10.9995,122.6711,77.68,87,96,3.15,PH,2022-06-15 18:44:21
212,Senno,59.5336,33.9167,54.27,97,29,5.12,RU,2022-06-15 18:46:46
213,Lazaro Cardenas,17.9583,-102.2,80.65,79,100,3.22,MX,2022-06-15 18:42:54
214,Channel-Port Aux Basques,47.5702,-59.1367,55.85,73,2,15.23,CA,2022-06-15 18:45:08
215,Marang,5.2056,103.2059,76.93,87,100,5.46,MY,2022-06-15 18:46:47
216,Odienne,9.51,-7.5692,81.86,63,100,0.56,CI,2022-06-15 18:46:47
217,Gushikawa,26.3544,127.8686,76.23,96,75,16.11,JP,2022-06-15 18:46:47
218,Formosa Do Rio Preto,-11.0483,-45.1931,89.8,26,1,8.1,BR,2022-06-15 18:46:47
219,Lorengau,-2.0226,147.2712,81.32,76,99,7.65,PG,2022-06-15 18:43:45
220,Klaksvik,62.2266,-6.589,52.72,95,100,11.25,FO,2022-06-15 18:43:40
221,Naze,28.3667,129.4833,72.52,91,100,6.22,JP,2022-06-15 18:43:54
222,Margate,51.3813,1.3862,66.87,66,78,1.99,GB,2022-06-15 18:46:48
223,Hilo,19.7297,-155.09,81.25,72,75,6.91,US,2022-06-15 18:43:52
224,Lagoa,39.05,-27.9833,63.61,87,19,12.44,PT,2022-06-15 18:43:40
225,Oussouye,12.485,-16.5469,86.18,73,100,8.14,SN,2022-06-15 18:46:48
226,Mathbaria,22.2876,89.9593,82.96,84,100,11.56,BD,2022-06-15 18:46:49
227,Matamba,-8.9833,33.9667,55.24,74,3,4.23,TZ,2022-06-15 18:46:49
228,Chuy,-33.6971,-53.4616,61.86,61,100,4.68,UY,2022-06-15 18:43:44
229,Cairns,-16.9167,145.7667,67.95,83,11,8.05,AU,2022-06-15 18:44:20
230,Grenada,37.1882,-3.6067,95.36,22,0,6.91,ES,2022-06-15 18:45:58
231,Flinders,-34.5833,150.8552,56.17,64,44,4.0,AU,2022-06-15 18:44:18
232,Quatre Cocos,-20.2078,57.7625,74.08,77,73,20.6,MU,2022-06-15 18:44:51
233,Obo,5.3998,26.4869,69.64,95,100,4.03,CF,2022-06-15 18:47:50
234,Peterhead,57.5058,-1.7981,66.6,87,90,10.69,GB,2022-06-15 18:47:50
235,Beloha,-25.1667,45.05,69.51,64,50,2.21,MG,2022-06-15 18:43:37
